First Name,Last Name,Age,Nationality,Height,Weight,Team Name,League,Appearances,Lineups,Minutes,Number,Position,Rating,Captain,In,Out,Bench,Total Shots,On Target Shots,Total Goals,Conceded Goals,Assists,Saves,Total Passes,Key Passes,Pass Accuracy,Total Tackles,Blocks,Interceptions,Total Duels,Duels Won,Dribble Attempts,Dribble Success,Past Dribbles,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,Penalties Won,Penalties Committed,Penalties Scored,Penalties Missed,Penalties Saved
Björn Bryan,Hardley,20.0,Netherlands,189 cm,,Manchester United,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam,Murray,18.0,England,,,Manchester United,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Oliver,Wormleighton,20.0,England,,,Leicester,Premier League,0.0,0.0,0.0,,Defender,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,
Benjamin Njongoue,Elliott,21.0,England,"
    ","
    ",Chelsea,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik,Maine Mothersille,20.0,England,,,Chelsea,Premier League,,,,,Attacker,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubert,Graczyk,19.0,England,,,Arsenal,Premier League,,,,,Goalkeeper,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zane,Monlouis,19.0,England,,,Arsenal,Premier League,,,,,Defender,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaide,Gordon,19.0,England,,,Liverpool,Premier League,,,,,Attacker,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian,Mrozek,20.0,Poland,,,Liverpool,Premier League,0.0,0.0,0.0,,Goalkeeper,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Samuel Charles,Braybrooke,19.0,England,,,Leicester,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,
William Thomas,Alves,18.0,England,,,Leicester,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Myles Anthony,Lewis-Skelly,16.0,England,,,Arsenal,Premier League,,,,,Midfielder,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Alex,John,22.0,England,,,Everton,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Imari-Narain,Che Hines-Samuels,20.0,England,,,Brighton,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Amari Miquel,Miller,21.0,England,174 cm,,Leeds,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Levi Alexander,Laing,20.0,England,,,West Ham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Sean Paul,McAllister,21.0,Northern Ireland,,,Everton,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Melkamu Benjamin Daniel,Frauendorf,19.0,Germany,,,Liverpool,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
James,Wright,19.0,England,,,Aston Villa,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Michael,Forbes,19.0,Northern Ireland,,,West Ham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Diamond,Diamond Lazane Edwards,20.0,England,,,Southampton,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Stefan Charles Earl,Parkes,19.0,England,,,Fulham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Omotayo Daniel,Adaramola,20.0,Republic of Ireland,,,Crystal Palace,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Lewis,Orford,17.0,England,,,West Ham,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Regan,Clayton,19.0,England,,,West Ham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Joseph Leonard,Snowdon,19.0,England,,,Leeds,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Diogo,Pinheiro Monteiro,18.0,Portugal,184 cm,75 kg,Leeds,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Kaden Kai,Rodney,19.0,England,,,Crystal Palace,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Nigel Ekow Oheneba,van Haveren,20.0,Netherlands,190 cm,80 kg,Vitesse,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Oliver,Scarles,18.0,England,,,West Ham,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Jimmy Jay,Morgan,17.0,England,,,Southampton,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
James Boluwatife,Debayo,18.0,England,,,Leeds,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Enock,Mwepu,24.0,Zambia,184 cm,76 kg,Brighton,Premier League,6,2,211,,Midfielder,6.683333,0.0,4,2,4,2.0,1.0,0,0.0,1.0,,75.0,3.0,10.0,10.0,1.0,1.0,30.0,11.0,4.0,,,1.0,2.0,0,0,,,0.0,0.0,
Bruno André,Cavaco Jordão,25.0,Portugal,180 cm,73 kg,Wolves,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Nathan,Young-Coombes,20.0,England,175 cm,64 kg,Brentford,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Max,Robson,21.0,England,,,Tottenham,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Marqes,Muir,21.0,England,,,Tottenham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Rhys Joseph,Wright Bennett,20.0,England,,,Manchester United,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Yago,de Santiago Alonso,20.0,Spain,,,Tottenham,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Sil,Laurentius Swinkels,19.0,Netherlands,190 cm,,Aston Villa,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Luiz Gustavo,Oliveira da Silva,21.0,Brazil,187 cm,72 kg,West Ham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Jack Samuel Lawrence,Hinchy,20.0,England,180 cm,70 kg,Brighton,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Nico,O'Reilly,18.0,England,,,Manchester City,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Charlie James,Robinson,19.0,England,,,Fulham,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Dominic,Sadi,20.0,England,174 cm,65 kg,Bournemouth,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
George David,Abbott,18.0,England,,,Tottenham,Premier League,1,0,0,,Defender,,0.0,1,0,1,,,0,0.0,,,1.0,,1.0,,,1.0,,,,,,,,0,0,,,0.0,0.0,
Callum,McFarlane,20.0,England,,,Fulham,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Daniel,Adu-Adjei,18.0,England,177 cm,,Bournemouth,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Jack,Wadham,20.0,England,183 cm,,Bournemouth,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Maxwell,Kinsey-Wellings,18.0,England,,,Bournemouth,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Ferdinand,Okoh,19.0,England,171 cm,,Bournemouth,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Michael,Dacosta Gonzales,18.0,Spain,186 cm,,Bournemouth,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
David,de Gea Quintana,33.0,Spain,192 cm,76 kg,Manchester United,Premier League,38.0,38.0,3420.0,,Goalkeeper,6.934210,0.0,0.0,0.0,0.0,,,0.0,43.0,,101.0,1083.0,1.0,19.0,,,1.0,12.0,10.0,,,,5.0,,0.0,0.0,,,0.0,0.0,1.0
James,McFarlane McArthur,36.0,Scotland,178 cm,75 kg,Crystal Palace,Premier League,4.0,0.0,51.0,,Midfielder,6.475000,0.0,4.0,0.0,4.0,,,0.0,0.0,,,52.0,,10.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,,1.0,,0.0,0.0,,,0.0,0.0,
Harry Nicholas,Arter,34.0,Republic of Ireland,176 cm,70 kg,Nottingham Forest,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Jed John,Steer,31.0,England,183 cm,80 kg,Aston Villa,Premier League,0.0,0.0,0.0,,Goalkeeper,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Lewis,Grabban,34.0,England,183 cm,78 kg,Nottingham Forest,Premier League,,,,,Attacker,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tariqe,Fosu,28.0,Ghana,180 cm,75 kg,Brentford,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Liam John,Hughes,22.0,Northern Ireland,"
    ","
    ",Liverpool,Premier League,0.0,0.0,0.0,,Goalkeeper,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Benjamin Leo,Knight,21.0,England,171 cm,61 kg,Manchester City,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,
Dynel Brown,Kembo Simeu,21.0,England,186 cm,83 kg,Southampton,Premier League,0.0,0.0,0.0,,Defender,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Thomas Daniel,Hill,21.0,England,"
    ","
    ",Liverpool,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
George Alexander,Wickens,22.0,England,183 cm,,Fulham,Premier League,0.0,0.0,0.0,,Goalkeeper,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0
Nile Omari,Mckenzie John,20.0,England,,,Tottenham,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Matthew George,Craig,20.0,Scotland,,,Tottenham,Premier League,1.0,0.0,13.0,,Midfielder,6.900000,0.0,1.0,0.0,1.0,,,0.0,0.0,,,6.0,,5.0,4.0,,,4.0,4.0,,,,,,0.0,0.0,,,0.0,0.0,
Isaac,Mabaya,19.0,England,,,Liverpool,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Kallum Xzeiba Tracey,Cesay,21.0,Sierra Leone,,,Tottenham,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Adler Bruno,Sá Nogueira de Nascimento,19.0,Portugal,,,Crystal Palace,Premier League,0.0,0.0,0.0,,Attacker,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Charlie,Sayers,19.0,England,,,Tottenham,Premier League,0.0,0.0,0.0,,Defender,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Kristian,Šekularac,20.0,Switzerland,,,Fulham,Premier League,0.0,0.0,0.0,,Midfielder,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,
Cameron Christopher,Plain,22.0,England,,,Bournemouth,Premier League,0.0,0.0,0.0,,Goalkeeper,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0
William,Lankshear,18.0,England,,,Tottenham,Premier League,0.0,0.0,0.0,,Attacker,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,
Phil Anthony,Jones,31.0,England,180 cm,71 kg,Manchester United,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Jesse Ellis,Lingard,31.0,England,175 cm,62 kg,Nottingham Forest,Premier League,17,12,928,,Midfielder,6.568750,0.0,5,10,5,4.0,2.0,0,0.0,,,282.0,11.0,14.0,4.0,,5.0,50.0,20.0,10.0,6.0,,9.0,8.0,1,0,,,0.0,0.0,
André Morgan,Rami Ayew,34.0,Ghana,175 cm,70 kg,Nottingham Forest,Premier League,13,1,305,,Attacker,6.481818,0.0,12,1,12,3.0,2.0,0,0.0,,,72.0,1.0,5.0,5.0,1.0,,62.0,28.0,5.0,1.0,,8.0,3.0,1,0,,,0.0,1.0,
Wilfredo Daniel,Caballero Lazcano,42.0,Argentina,186 cm,81 kg,Southampton,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Jean-Philippe,Gbamin,28.0,Côte d'Ivoire,186 cm,83 kg,Everton,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Theo James,Walcott,34.0,England,176 cm,68 kg,Southampton,Premier League,20,13,1134,,Attacker,6.545000,0.0,7,11,7,15.0,8.0,2,0.0,2.0,,240.0,15.0,8.0,13.0,1.0,9.0,99.0,44.0,22.0,12.0,,10.0,7.0,1,0,,,0.0,0.0,
Andros Darryl,Townsend,32.0,England,181 cm,77 kg,Everton,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Felix Junior,Stanislas,34.0,England,183 cm,76 kg,Bournemouth,Premier League,4,0,57,,Midfielder,6.500000,0.0,4,0,4,1.0,,0,0.0,,,27.0,2.0,7.0,,1.0,,2.0,,,,,,,0,0,,,0.0,0.0,
Ryan Dominic,Bertrand,34.0,England,179 cm,85 kg,Leicester,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Joshua Oghenetega Peter,Onomah,26.0,England,185 cm,70 kg,Fulham,Premier League,2,0,13,,Midfielder,6.300000,0.0,2,0,2,,,0,0.0,,,6.0,,4.0,1.0,,,4.0,2.0,1.0,,,,,0,0,,,0.0,0.0,
Lyle James Alfred,Taylor,33.0,Montserrat,188 cm,75 kg,Nottingham Forest,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Daan,Reiziger,22.0,Netherlands,184 cm,69 kg,Vitesse,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
César Joel,Valencia Castillo,29.0,Ecuador,164 cm,61 kg,Brentford,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Matthew Ben,Longstaff,23.0,England,,,Newcastle,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Charlie Steven,Allen,20.0,Northern Ireland,,,Leeds,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,,,,,,,,,,,,,,,,,0,0,,,,,
Ethan James,Wady,21.0,USA,,,Chelsea,Premier League,0,0,0,,Goalkeeper,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,0.0
Killian,Phillips,21.0,Republic of Ireland,,,Crystal Palace,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Luke,Mbete-Tabu,20.0,England,,,Manchester City,Premier League,0,0,0,,Defender,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Ethan Chidiebere,Nwaneri,16.0,England,165 cm,,Arsenal,Premier League,1,0,0,,Midfielder,,0.0,1,0,1,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Euan,Pollock,21.0,England,173 cm,,Bournemouth,Premier League,0,0,0,,Attacker,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,,,0,0,,,0.0,0.0,
Philippe,Coutinho Correia,31.0,Brazil,172 cm,68 kg,Aston Villa,Premier League,20,7,781,,Midfielder,6.655000,0.0,13,6,13,16.0,8.0,1,0.0,,,357.0,8.0,14.0,19.0,1.0,4.0,117.0,50.0,29.0,14.0,,14.0,16.0,3,0,,,0.0,0.0,
Allan,Marques Loureiro,32.0,Brazil,174 cm,77 kg,Everton,Premier League,20,7,781,,Midfielder,6.655000,0.0,13,6,13,16.0,8.0,1,0.0,,,357.0,8.0,14.0,19.0,1.0,4.0,117.0,50.0,29.0,14.0,,14.0,16.0,3,0,,,0.0,0.0,
Kyle Andrew,Walker,33.0,England,178 cm,80 kg,Manchester City,Premier League,0,0,0,,Midfielder,,0.0,0,0,0,,,0,0.0,,,,,,,,,,,,,,10.0,,0,0,,,0.0,0.0,
Oleksandr,Zinchenko,27.0,Ukraine,175 cm,64 kg,Arsenal,Premier League,27,22,1957,,Defender,6.715384,0.0,5,4,5,5.0,1.0,0,0.0,,,1729.0,6.0,57.0,13.0,2.0,18.0,110.0,58.0,16.0,12.0,,11.0,15.0,3,0,,,0.0,0.0,
Rodrigo,Moreno Machado,32.0,Spain,182 cm,77 kg,Leeds,Premier League,27,26,2135,,Defender,6.940740,0.0,1,18,8,20.0,7.0,1,0.0,2.0,,1716.0,20.0,55.0,24.0,2.0,22.0,185.0,117.0,24.0,15.0,,11.0,6.0,6,0,,,0.0,0.0,
Joel,Robles Blázquez,33.0,Spain,195 cm,78 kg,Leeds,Premier League,31,23,1943,,Attacker,6.896774,0.0,8,16,0,47.0,27.0,13,0.0,1.0,,516.0,16.0,12.0,,4.0,6.0,224.0,80.0,26.0,11.0,,,29.0,1,0,,,1.0,0.0,
Mateo,Kovačić,29.0,Croatia,177 cm,78 kg,Chelsea,Premier League,4,17,360,,Goalkeeper,6.450000,0.0,0,0,10,,,0,11.0,,16.0,102.0,,10.0,36.0,,,4.0,3.0,,,,12.0,,8,0,,,0.0,0.0,0.0
Luis Fernando,Díaz Marulanda,26.0,Colombia,178 cm,65 kg,Liverpool,Premier League,27,11,1704,,Midfielder,6.766666,0.0,10,7,6,12.0,2.0,1,0.0,2.0,,1307.0,23.0,41.0,17.0,,19.0,162.0,77.0,29.0,19.0,,24.0,18.0,2,0,,,0.0,0.0,
James Alan,Tarkowski,31.0,England,185 cm,81 kg,Everton,Premier League,17,38,996,,Defender,7.236842,0.0,6,6,0,20.0,8.0,4,0.0,2.0,,446.0,13.0,21.0,50.0,78.0,6.0,190.0,81.0,57.0,32.0,,23.0,20.0,6,0,,,0.0,0.0,
Luka,Milivojević,32.0,Serbia,186 cm,80 kg,Crystal Palace,Premier League,38,5,3420,,Midfielder,6.629411,0.0,0,0,13,5.0,9.0,1,0.0,1.0,,1613.0,15.0,34.0,13.0,4.0,51.0,310.0,200.0,9.0,8.0,,3.0,40.0,2,0,,,0.0,0.0,
Neeskens,Kebano,31.0,Congo DR,170 cm,65 kg,Fulham,Premier League,18,9,503,,Midfielder,6.606666,0.0,13,8,8,8.0,,0,0.0,,,252.0,13.0,11.0,17.0,,12.0,55.0,23.0,1.0,1.0,,16.0,15.0,0,0,,,0.0,0.0,
Jack Peter,Grealish,28.0,England,175 cm,76 kg,Manchester City,Premier League,17,23,764,,Midfielder,7.310714,0.0,8,12,5,29.0,2.0,0,0.0,7.0,,188.0,50.0,8.0,25.0,3.0,1.0,97.0,44.0,23.0,9.0,,78.0,8.0,4,0,,,0.0,0.0,
David,Raya Martin,28.0,Spain,183 cm,80 kg,Brentford,Premier League,28,38,2062,,Goalkeeper,7.189473,0.0,5,0,0,1.0,16.0,5,0.0,,154.0,989.0,2.0,30.0,,,7.0,270.0,162.0,1.0,45.0,,5.0,27.0,1,0,,,0.0,0.0,0.0
